date,lottery_number,prime_minister
2024-12-01,61,Paetongtarn Shinawatra
2024-11-16,38,Paetongtarn Shinawatra
2024-11-01,32,Paetongtarn Shinawatra
2024-10-16,0,Paetongtarn Shinawatra
2024-10-01,59,Paetongtarn Shinawatra
2024-09-16,37,Paetongtarn Shinawatra
2024-09-01,94,Paetongtarn Shinawatra
2024-08-16,28,Paetongtarn Shinawatra
2024-08-01,46,Srettha Thavisin
2024-07-16,21,Srettha Thavisin
2024-07-01,89,Srettha Thavisin
2024-06-16,31,Srettha Thavisin
2024-06-01,42,Srettha Thavisin
2024-05-16,60,Srettha Thavisin
2024-05-02,17,Srettha Thavisin
2024-04-16,79,Srettha Thavisin
2024-04-01,90,Srettha Thavisin
2024-03-16,78,Srettha Thavisin
2024-03-01,79,Srettha Thavisin
2024-02-16,43,Srettha Thavisin
2024-02-01,9,Srettha Thavisin
2024-01-17,61,Srettha Thavisin
2023-12-30,89,Srettha Thavisin
2023-12-16,85,Srettha Thavisin
2023-12-01,91,Srettha Thavisin
2023-11-16,14,Srettha Thavisin
2023-11-01,63,Srettha Thavisin
2023-10-16,44,Srettha Thavisin
2023-10-01,66,Srettha Thavisin
2023-09-16,46,Srettha Thavisin
2023-09-01,91,Srettha Thavisin
2023-08-16,67,Prayut Chan-o-cha
2023-07-31,11,Prayut Chan-o-cha
2023-07-16,62,Prayut Chan-o-cha
2023-07-01,16,Prayut Chan-o-cha
2023-06-16,30,Prayut Chan-o-cha
2023-06-01,9,Prayut Chan-o-cha
2023-05-15,99,Prayut Chan-o-cha
2023-05-02,65,Prayut Chan-o-cha
2023-04-16,71,Prayut Chan-o-cha
2023-04-01,99,Prayut Chan-o-cha
2023-03-16,73,Prayut Chan-o-cha
2023-03-01,55,Prayut Chan-o-cha
2023-02-16,80,Prayut Chan-o-cha
2023-02-01,92,Prayut Chan-o-cha
2023-01-17,47,Prayut Chan-o-cha
2022-12-30,58,Prayut Chan-o-cha
2022-12-16,14,Prayut Chan-o-cha
2022-12-01,8,Prayut Chan-o-cha
2022-11-16,64,Prayut Chan-o-cha
2022-11-01,70,Prayut Chan-o-cha
2022-10-16,15,Prayut Chan-o-cha
2022-10-01,50,Prayut Chan-o-cha
2022-09-16,75,Prayut Chan-o-cha
2022-09-01,83,Prayut Chan-o-cha
2022-08-16,42,Prayut Chan-o-cha
2022-08-01,14,Prayut Chan-o-cha
2022-07-16,53,Prayut Chan-o-cha
2022-07-01,61,Prayut Chan-o-cha
2022-06-16,92,Prayut Chan-o-cha
2022-06-01,2,Prayut Chan-o-cha
2022-05-16,6,Prayut Chan-o-cha
2022-05-02,9,Prayut Chan-o-cha
2022-04-16,58,Prayut Chan-o-cha
2022-04-01,10,Prayut Chan-o-cha
2022-03-16,3,Prayut Chan-o-cha
2022-03-01,7,Prayut Chan-o-cha
2022-02-17,57,Prayut Chan-o-cha
2022-02-01,30,Prayut Chan-o-cha
2022-01-17,92,Prayut Chan-o-cha
2021-12-30,36,Prayut Chan-o-cha
2021-12-16,83,Prayut Chan-o-cha
2021-12-01,82,Prayut Chan-o-cha
2021-11-16,57,Prayut Chan-o-cha
2021-11-01,95,Prayut Chan-o-cha
2021-10-16,38,Prayut Chan-o-cha
2021-10-01,83,Prayut Chan-o-cha
2021-09-16,90,Prayut Chan-o-cha
2021-09-01,79,Prayut Chan-o-cha
2021-08-16,23,Prayut Chan-o-cha
2021-08-01,69,Prayut Chan-o-cha
2021-07-16,70,Prayut Chan-o-cha
2021-07-01,29,Prayut Chan-o-cha
2021-06-16,17,Prayut Chan-o-cha
2021-06-01,45,Prayut Chan-o-cha
2021-05-16,14,Prayut Chan-o-cha
2021-05-02,18,Prayut Chan-o-cha
2021-04-16,56,Prayut Chan-o-cha
2021-04-01,5,Prayut Chan-o-cha
2021-03-16,19,Prayut Chan-o-cha
2021-03-01,73,Prayut Chan-o-cha
2021-02-16,39,Prayut Chan-o-cha
2021-02-01,97,Prayut Chan-o-cha
2021-01-17,15,Prayut Chan-o-cha
2020-12-30,19,Prayut Chan-o-cha
2020-12-16,70,Prayut Chan-o-cha
2020-12-01,84,Prayut Chan-o-cha
2020-11-16,46,Prayut Chan-o-cha
2020-11-01,40,Prayut Chan-o-cha
2020-10-16,38,Prayut Chan-o-cha
2020-10-01,59,Prayut Chan-o-cha
2020-09-16,57,Prayut Chan-o-cha
2020-09-01,98,Prayut Chan-o-cha
2020-08-16,88,Prayut Chan-o-cha
2020-08-01,92,Prayut Chan-o-cha
2020-07-16,53,Prayut Chan-o-cha
2020-07-01,83,Prayut Chan-o-cha
2020-06-16,64,Prayut Chan-o-cha
2020-06-01,24,Prayut Chan-o-cha
2020-05-16,22,Prayut Chan-o-cha
2020-03-16,77,Prayut Chan-o-cha
2020-03-01,98,Prayut Chan-o-cha
2020-02-16,94,Prayut Chan-o-cha
2020-02-01,6,Prayut Chan-o-cha
2020-01-17,68,Prayut Chan-o-cha
2020-01-01,81,Prayut Chan-o-cha
2019-12-01,81,Prayut Chan-o-cha
2019-11-16,32,Prayut Chan-o-cha
2019-11-01,79,Prayut Chan-o-cha
2019-10-15,15,Prayut Chan-o-cha
2019-10-01,59,Prayut Chan-o-cha
2019-09-16,85,Prayut Chan-o-cha
2019-09-01,20,Prayut Chan-o-cha
2019-08-16,89,Prayut Chan-o-cha
2019-08-01,58,Prayut Chan-o-cha
2019-07-15,88,Prayut Chan-o-cha
2019-07-01,86,Prayut Chan-o-cha
2019-06-16,29,Prayut Chan-o-cha
2019-06-01,46,Prayut Chan-o-cha
2019-05-16,71,Prayut Chan-o-cha
2019-05-02,25,Prayut Chan-o-cha
2019-04-16,23,Prayut Chan-o-cha
2019-04-01,52,Prayut Chan-o-cha
2019-03-16,64,Prayut Chan-o-cha
2019-03-01,65,Prayut Chan-o-cha
2019-02-16,56,Prayut Chan-o-cha
2019-02-01,4,Prayut Chan-o-cha
2019-01-17,65,Prayut Chan-o-cha
2018-12-30,2,Prayut Chan-o-cha
2018-12-16,62,Prayut Chan-o-cha
2018-12-01,67,Prayut Chan-o-cha
2018-11-16,16,Prayut Chan-o-cha
2018-11-01,58,Prayut Chan-o-cha
2018-10-16,93,Prayut Chan-o-cha
2018-10-01,99,Prayut Chan-o-cha
2018-09-16,79,Prayut Chan-o-cha
2018-09-26,26,Prayut Chan-o-cha
2018-08-10,10,Prayut Chan-o-cha
2018-08-01,78,Prayut Chan-o-cha
2018-07-16,27,Prayut Chan-o-cha
2018-07-01,83,Prayut Chan-o-cha
2018-06-16,46,Prayut Chan-o-cha
2018-06-01,95,Prayut Chan-o-cha
2018-05-16,20,Prayut Chan-o-cha
2018-05-02,85,Prayut Chan-o-cha
2018-04-16,60,Prayut Chan-o-cha
2018-04-01,85,Prayut Chan-o-cha
2018-03-16,82,Prayut Chan-o-cha
2018-03-02,29,Prayut Chan-o-cha
2018-02-16,39,Prayut Chan-o-cha
2018-02-01,31,Prayut Chan-o-cha
2018-01-17,50,Prayut Chan-o-cha
2017-12-30,98,Prayut Chan-o-cha
2017-12-16,89,Prayut Chan-o-cha
2017-12-01,33,Prayut Chan-o-cha
2017-11-16,98,Prayut Chan-o-cha
2017-11-01,85,Prayut Chan-o-cha
2017-10-16,86,Prayut Chan-o-cha
2017-10-01,52,Prayut Chan-o-cha
2017-09-16,71,Prayut Chan-o-cha
2017-09-01,65,Prayut Chan-o-cha
2017-08-16,37,Prayut Chan-o-cha
2017-08-01,36,Prayut Chan-o-cha
2017-07-16,87,Prayut Chan-o-cha
2017-07-01,26,Prayut Chan-o-cha
2017-06-16,47,Prayut Chan-o-cha
2017-06-01,61,Prayut Chan-o-cha
2017-05-16,53,Prayut Chan-o-cha
2017-05-02,35,Prayut Chan-o-cha
2017-04-16,40,Prayut Chan-o-cha
2017-04-01,80,Prayut Chan-o-cha
2017-03-16,92,Prayut Chan-o-cha
2017-03-01,78,Prayut Chan-o-cha
2017-02-16,14,Prayut Chan-o-cha
2017-02-01,42,Prayut Chan-o-cha
2017-01-17,25,Prayut Chan-o-cha
2016-12-30,46,Prayut Chan-o-cha
2016-12-16,35,Prayut Chan-o-cha
2016-12-01,77,Prayut Chan-o-cha
2016-11-16,44,Prayut Chan-o-cha
2016-11-01,86,Prayut Chan-o-cha
2016-10-16,98,Prayut Chan-o-cha
2016-10-01,33,Prayut Chan-o-cha
2016-09-16,42,Prayut Chan-o-cha
2016-09-01,62,Prayut Chan-o-cha
2016-08-16,33,Prayut Chan-o-cha
2016-08-01,57,Prayut Chan-o-cha
2016-07-16,55,Prayut Chan-o-cha
2016-07-01,53,Prayut Chan-o-cha
2016-06-16,79,Prayut Chan-o-cha
2016-06-01,14,Prayut Chan-o-cha
2016-05-16,98,Prayut Chan-o-cha
2016-05-02,2,Prayut Chan-o-cha
2016-08-01,57,Prayut Chan-o-cha
2016-07-16,55,Prayut Chan-o-cha
2016-07-01,53,Prayut Chan-o-cha
2016-06-16,79,Prayut Chan-o-cha
2016-06-01,14,Prayut Chan-o-cha
2016-05-16,98,Prayut Chan-o-cha
2016-05-02,2,Prayut Chan-o-cha
2016-04-16,87,Prayut Chan-o-cha
2016-04-01,92,Prayut Chan-o-cha
2016-03-16,32,Prayut Chan-o-cha
2016-03-01,6,Prayut Chan-o-cha
2016-02-16,98,Prayut Chan-o-cha
2016-02-01,9,Prayut Chan-o-cha
2016-01-17,50,Prayut Chan-o-cha
2015-12-30,2,Prayut Chan-o-cha
2015-12-17,8,Prayut Chan-o-cha
2015-12-01,78,Prayut Chan-o-cha
2015-11-16,3,Prayut Chan-o-cha
2015-11-01,45,Prayut Chan-o-cha
2015-10-16,62,Prayut Chan-o-cha
2015-10-01,7,Prayut Chan-o-cha
2015-09-16,6,Prayut Chan-o-cha
2015-09-01,89,Prayut Chan-o-cha
2015-08-16,40,Prayut Chan-o-cha
2015-08-01,53,Prayut Chan-o-cha
2015-07-16,49,Prayut Chan-o-cha
2015-07-01,26,Prayut Chan-o-cha
2015-06-16,5,Prayut Chan-o-cha
2015-06-02,65,Prayut Chan-o-cha
2015-05-16,38,Prayut Chan-o-cha
2015-05-02,30,Prayut Chan-o-cha
2015-04-16,38,Prayut Chan-o-cha
2015-04-01,70,Prayut Chan-o-cha
2015-03-16,92,Prayut Chan-o-cha
2015-03-01,34,Prayut Chan-o-cha
2015-02-16,90,Prayut Chan-o-cha
2015-02-01,79,Prayut Chan-o-cha
2015-01-16,74,Prayut Chan-o-cha